# Common English word | short Simplified Chinese gloss
# Derived from ECDICT. License: MIT.
# Source snapshot downloaded: 2026-08-25
# Source SHA-256: 1a6947e04785db63613a92e14903cdae7954f7e84860b10e68e5c7cbb3f9c3cf
a	第一个字母A
cartoonish	动画片似的
cartoonist	漫画家
cartouche	涡卷饰
cartridge	弹药筒
cartwheel	车轮
cartwright	车匠
carty	卡蒂（人名）
caruso	卡鲁索（人名
carve	雕刻
carved	有雕刻的
carver	雕刻匠
carvery	烤肉餐馆
carving	雕刻品
carwash	洗车房
cary	卡里（男子名
caryatid	女像柱
caryl	蒈烷基
cas	中国科学院（
casa	天文学高级研
casablanca	卡萨布蓝卡
casanova	卡萨诺瓦式人
casbah	阿拉伯式之宫
cascade	小瀑布
cascading	级联
case	情形
casebook	个案病例记录
cased	包装
casein	酪蛋白
caseload	工作量
casement	窗
casework	社会工作
caseworker	社会工作者
casey	凯西（男子名
cash	现金
cashbox	钱箱
cashew	腰果树
cashflow	现金流转
cashier	出纳员
cashless	无现款的
cashmere	开士米
cashpoint	一种电脑化的
casing	箱
casino	卡西诺赌场
casio	卡西欧（日本
cask	桶
casket	首饰盒
caspar	卡斯帕（《圣
caspian	里海的
cass	货物财务结算
cassandra	卡珊德拉
cassava	木薯
cassel	卡塞尔[德意
cassell	人名
casserole	餐桌上用有盖
cassette	盒式磁带
cassia	肉桂
cassidy	卡西迪（男子
cassie	卡西
cassino	一种纸牌戏
cassis	产于欧洲的黑
cassius	卡西乌斯（罗
cassock	法衣
casson	人名
cassoulet	豆焖肉
cast	演员阵容
cast-iron	铸铁的
cast-off	遭遗弃的
castanet	响板
castaway	被抛弃的人
caste	印度的种姓制
castell	卡斯泰尔
castellated	造成城形的
castelli	人名
castello	人名
castelnau	人名
caster	投手
castigate	惩罚
castigation	惩罚
castile	用橄榄油和碱
castilian	卡斯蒂利亚的
castillo	卡斯蒂略（人
casting	投掷
castle	城堡
castlereagh	人名
castleton	人名
castor	调味瓶
castrate	阉割
castrated	[医]去势的
castration	去雄蕊
castrato	被阉的男歌手
castro	卡斯特罗（古
castrol	凯斯特罗
casual	偶然的
casually	偶然地
casualness	偶然
casualty	意外事故
casuistry	决疑论
caswell	人名
cat	猫
cataclysm	大洪水
cataclysmic	洪水的
catacomb	地下墓穴
catafalque	灵柩台
catalan	加泰隆人
catalina	远程轰炸机
catalog	目录
cataloger	编目程序
cataloging	编目
catalogue	目录
cataloguer	编目人
cataloguing	为…编目录
catalonia	加泰罗尼亚（
catalonian	加泰罗尼亚
catalpa	梓
catalyse	催化
catalysis	刺激作用
catalyst	触媒
catalytic	催化的
catalyze	催化
catamaran	双体船
catamount	猫科野兽
catania	卡塔尼亚
catapult	弹射器
cataract	大瀑布
catarrh	黏膜炎
catastrophe	大灾难
catastrophic	悲惨的
catastrophically	灾难性地
catastrophism	灾变说
catatonia	紧张症
catatonic	紧张症的
catbird	北美猫鸟
catcall	不满之声
catch	捕捉
catchable	抓得住的
catchall	装杂物的容器
catcher	捕手
catching	易传染的
catchment	排水区
catchphrase	吸引人们注意
catchword	口号
catchy	易记住的
cate	佳肴
catechesis	[宗]口授经
catechetical	问答式教学的
catechin	儿茶素
catechism	教理问答
catechist	传授基本教义
catechize	用问答法传授
catecholamine	儿茶酚胺
catechumen	新入教者
categorial	[哲][语]
categoric	绝对的
categorical	范畴的
categorically	无条件
categorisation	加以类别
categorise	分类
categorization	归类
categorize	分类
categorized	把…归类
category	种类
catenary	链
cater	提供饮食及服
caterer	备办食物者
caterham	凯特汉姆（英
catering	给养
caterpillar	毛虫
caterwaul	猫叫春声
catesby	人名
catfight	激烈的争辩
catfish	鲶鱼
catford	卡特福特（J
cath	泻药
cathal	人名
catharine	轮转烟火
catharsis	陶冶
cathartic	泻药
cathay	中国
cathcart	人名
cathedral	大教堂
catherine	轮圈外缘装有
catheter	导管
cathexis	聚精会神
cathie	卡西（人名）
cathode	阴极
cathodic	阴极的
catholic	天主教徒
catholicism	天主教的信仰
catholicity	普遍性
cathouse	妓院
cathy	凯茜（女子名
cation	阳离子
cationic	阳离子的
catkin	柔荑花序
catlike	象猫的
catmint	假荆芥
catnap	瞌睡
catnip	假荆芥
cato	加图
caton	卡顿（男子名
catriona	人名
catsuit	女式紧身连衣
catsup	调味蕃茄酱
cattail	柔荑花
cattell	卡特尔
cattle	牛
cattleman	牧牛人
catty	恶毒的
catwalk	狭小通道
caucasian	高加索人
caucasus	高加索山脉
caucus	领导人会议
caudal	尾部的
caudillo	军事领导人物
caught	catch的
caul	胎头羊膜
cauldron	大锅
caulfield	考尔菲尔德（
cauliflower	花椰菜
caulk	填...以防
caulking	堵缝
causa	理由
causal	原因的
causality	因果关系
causally	有原因地
causation	因果关系
causative	成为原因的
cause	原因
causes	原因
causeway	堤道
caustic	腐蚀剂
caustically	腐蚀地
cauterise	&vi.（用
cauterize	烧灼
cautery	烧灼
caution	小心
cautionary	警告的
cautious	谨慎的
cautiously	慎重地
cautiousness	谨慎
cava	腔
cavalcade	行列
cavalier	骑士
cavalierly	像骑士般地
cavalry	骑兵
cavalryman	骑兵
cavan	卡文（爱尔兰
cave	洞
cave-in	陷落
caveat	中止诉讼程序
cavell	卡维尔
caveman	穴居人
cavendish	板烟
caver	探察洞穴的人
cavern	巨穴
cavernous	似巨穴的
caversham	人名
caves	咖啡馆
caviar	鱼子酱
caviare	鱼子酱
cavil	无端的指责
caving	洞穴探险
cavitation	成穴
cavity	洞
cavort	腾跃
caw	乌鸦的叫声
cawing	Carbon
cawley	人名
caxton	卡克斯顿
cay	沙礁
cayenne	辣椒
cayman	宽吻鳄
cb	平民波段
cbc	加拿大广播公
cbe	以计算机为基
cbi	英国工业联合
cbs	哥伦比亚广播
cc	复写本
cca	常规军备委员
ccc	中央通信控制
ccd	电荷耦合器件
ccg	肋软骨移植物
cck	缩胆囊素
ccp	调用控制端口
cctv	闭路电视
ccw	通道命令字
cd	镭射碟
cd-rom	光盘驱动器
cdc	疾病防治中心
cdi	航向偏差指示
cdna	互补DNA
cdp	胞苷二磷酸
cdr	指挥员（Co
cdt	（美国）中央
cdu	中央显示器（
ce	组件选通
ceanothus	美洲茶
cease	停止
ceasefire	（通常指永久
ceaseless	不停的
ceaselessly	不停地
cec	中国电子信息
cecil	塞西尔（男子
cecilia	塞西莉亚（女
cecily	塞西莉（女子
cedar	雪松
cedarwood	雪松属木料
cede	割让
ceded	让给
cedric	塞德里克（男
ceefax	BBC电视图
ceftriaxone	头孢曲松
cegb	（英国）中央
ceiba	吉贝
ceilidh	同乐会
ceiling	天花板
cel	厘米/秒
celadon	灰绿色
celeb	著明人士
celebrant	主持仪式的人
celebrate	庆祝
celebrated	驰名的
celebrating	庆祝（现在进
celebration	庆祝
celebratory	快乐的
celebrity	名声
celeriac	块根芹
celerity	迅速
celery	芹菜
celeste	天蓝色
celestial	天的
celia	西莉亚（女子
celiac	腹的
celibacy	独身
celibate	独身者
celica	赛利卡（日本
cell	单元
cellar	地窖
cellblock	监狱中一组囚
cellist	大提琴演奏家
cellmate	狱友
cello	大提琴
cellophane	玻璃纸
cellphone	蜂窝式便携无
cellular	细胞的
cellularity	细胞性
cellulite	（胖女人臀腿
cellulitis	蜂窝织炎
celluloid	赛璐珞
cellulose	纤维素
celsius	摄氏的
celt	凯尔物人
celtic	凯尔特族的
cement	水泥
cementation	水泥接合
cemented	注水泥的
cemetery	墓地
cenotaph	纪念碑
cenote	天然井
censer	香炉
censor	检查员
censored	受审查的
censoring	删剪（书籍、
censorious	爱批判的
censorship	检查制度
censure	责难
census	户口普查
cent	分
centaur	半人半马的怪
centenarian	百岁老人
centenary	一百年
centennial	百年纪念
center	中心
centerboard	活动船板
centered	居中的
centerfield	[美国]森特
centerfold	（杂志的）中
centering	定中心
centerline	中心线
centerpiece	中心装饰品
centigrade	百分度的
centimeter	厘米
centimetre	厘米
centipede	百脚
central	中央的
centrale	中央骨
centralisation	<主英>=c
centralise	形成中心
centralised	把…集中起来
centralising	vt.形成中
centralism	中央集权制
centralist	中央集权主义
centrality	中心
centralization	集中
centralize	集聚
centralized	集中的
centralizing	使处于中央的
centrally	在中心
centre	中心
centre-forward	（足球、曲棍
centrefold	一期报纸中最
centreline	中心线
centrepiece	中心装饰品
centric	中心的
centrifugal	离心的
centrifugation	离心/分离作
centrifuge	离心机
centripetal	向心的
centrism	中间路线
centrist	中间党派的成
centro	毛靴刺藤
centroid	质心
centrum	中心
centurion	百人队队长
century	世纪
ceo	首席执行官
cephalic	头的
cephalopod	头足动物
cephalosporin	头孢菌素
cer	陶瓷
ceramic	陶瓷的
ceramics	制陶术
ceramist	陶瓷技师
cereal	谷类食品
cerebellar	小脑的
cerebellopontine	小脑脑桥的
cerebellum	小脑
cerebral	脑的
cerebrospinal	脑脊髓的
cerebrovascular	脑血管的
cerebrum	大脑
ceremonial	仪式
ceremonially	仪式上
ceremonious	讲究仪式的
ceremoniously	隆重地
ceremony	典礼
ceres	刻瑞斯
cereus	仙影拳
ceri	教育研究与革
cerise	樱桃色
cern	欧洲原子核研
cert	必然的事情
certain	确定的
certainly	确定地
certainty	确定
certifiable	可证明的
certifiably	可证明地
certificate	证书
certificated	有授权证书的
certificates	证明书
certification	证明
certified	证明合格的
certify	证明
certifying	（尤指书面）
certiorari	上级法院向下
certitude	确实性
cerulean	蔚蓝的
cerumen	耵聍
cervantes	塞万提斯
cervical	颈的
cervix	器官的颈部
cesar	恺撒
cesare	人名
cesarean	凯撒的
cesium	铯
cess	地方税
cessation	停止
cession	割让
cessna	赛斯纳（美国
cesspit	粪坑
cesspool	污水坑
cetacean	鲸目的
ceviche	酸橘汁腌鱼
ceylon	锡兰
cezanne	塞尚（男子名
cf	克里斯马斯因
cfa	注册金融分析
cfc	中央发射控制
cfe	承包商供应的
cg	重心
cga	彩色图形适配
cgi	计算机生成图
cgmp	环鸟苷酸
cgt	总工会（Ge
ch	改变
cha	（英俚）茶
chablis	法国产的一种
chad	乍得
chadian	乍得人
chador	（穆斯林妇女
chadwick	查德威克（姓
chaebol	韩国大企业
chafe	擦伤
chafed	擦热（尤指皮
chaff	谷壳
chaffinch	花鸡
chafing	[摩擦]刺激
chagall	夏加尔（俄国
chagrin	懊恼
chagrined	懊恼的
chaim	人名
chain	链
chained	装链的
chainsaw	用链锯割
chair	椅子
chairlift	（运送滑雪者
chairman	主席
chairmanship	主席的身份或
chairperson	主席
chairwoman	女主席
chaise	轻便马车
chakra	（印度瑜伽用
chalcedonian	Chalce
chalcedony	玉髓
chaldean	古代巴比伦的
chalet	瑞士山中的牧
chalfont	人名
chalice	酒杯
chalk	粉笔
chalkboard	黑板
chalker	乔克（英格兰
chalky	白垩的
challah	白面包
challenge	挑战
challenged	受到挑战的
challenger	挑战者
challenging	挑战的
challengingly	刺激地
challis	一种毛/棉的
chalmers	查尔莫斯港（
chamber	室
chambered	有小室的
chamberlain	内侍
chambermaid	女服务员
chambers	钱伯斯（姓氏
chambray	钱布雷绸
chameleon	美洲变色蜥蜴
chamfer	斜面
chamois	小羚羊
chamomile	春黄菊
chamonix	夏蒙尼（地名
chamorro	查莫罗人
champ	大声地嚼
champagne	香槟酒
champaign	原野
champion	冠军
championship	冠军身份
champs	冠军计划（肯
chan	通道（槽
chance	机会
chancel	高坛
chancellery	大臣
chancellor	大臣
chancellorship	长官的职位或
chancer	投机分子
chancery	大法官法庭
chancy	不确定的
chandelier	枝形吊灯
chandler	蜡烛制造者
chandon	人名
chandos	人名
chandra	钱德拉（印度
chanel	香奈儿（服装
chang	青稞酒（等于
change	变化
changeability	可变性
changeable	可改变的
changed	变化的
changeless	不变的
changeling	被偷换后留下
changeover	转换
changer	变换器
changing	交换
channel	海峡
channeled	有沟的
channeler	凿沟机
channeling	通道作用
channelization	通道化
channelled	有凹槽的
channelling	沟流
channing	钱宁（男子名
chanson	n<法>歌曲
chant	圣歌
chantal	傻女闯艺界（
chanter	吟唱者
chanterelle	鸡油菌
chanteuse	音乐会/夜总
chantey	水手的劳动号
chantilly	尚蒂伊（位于
chanting	念咒
chantry	供祭司为施主
chao	钞（货币）
chaos	大混乱
chaotic	混乱的
chaotically	混乱地
chap	小伙子
chaparral	灌木丛
chapati	（印度）薄煎
chapbook	小本故事书
chapeau	帽子
chapel	小教堂
chapelle	人名
chapeltown	查珀尔敦
chaperon	年长女伴
chaperone	年长女伴
chaplain	牧师
chaplaincy	礼拜堂牧师的
chaplin	卓别林（喜剧
chaplinesque	卓别林式的
chapman	流动商贩
chapped	裂开的
chappell	人名
chappie	喜爱卖弄的人
chappy	喜爱卖弄的人
chapstick	无色唇膏
chapter	章
char	家庭杂务
charabanc	一种大型游览
character	个性
characterful	表现性格的
characterisation	<英>=ch
characterise	表示...的
characteristic	特性
characteristically	表示特性地
characterization	特性描述
characterize	描绘...的
characterless	无特征的
characterological	[心]性格的
charade	字谜游戏
charades	用动作等表演
charcoal	木炭
charcuterie	猪肉店
chard	可供食用的甜
chardin	Teilha
chardonnay	夏敦埃酒
charge	指控
chargeable	应支付的
charged	充满强烈感情
chargee	承押记人
chargehand	<英>工头
chargepayer	人头税纳税人
charger	充电器
charges	费用
charging	计费的
charing	炭化
chariot	二轮战车
charioteer	战车的御者
charisma	非凡的领导力
charismatic	魅力
charitable	大慈大悲的
charitably	慷慨地
charity	慈悲
charlatan	庸医
charlemagne	查理曼大帝
charlene	沙琳（女子名
charles	查尔斯（人名
charleston	查尔斯顿
charlesworth	人名
charley	查理（人名）
charlie	通讯中用以代
charlotte	水果奶油布丁
charlton	查尔顿
charm	吸引力
charman	工友仆役
charmed	喜悦的
charmer	巫士
charming	迷人的
charmingly	迷人地
charmless	无魅力的
charnel	藏骸所
charnwood	人名
charolais	夏洛来牛
charon	在Styx河
charred	把…烧成炭
chart	图表
charted	绘制…的图
charter	特许状
chartered	特许的
charterer	租船人
charterhouse	卡尔特修道院
charteris	人名
charting	图表
chartism	宪章运动
chartist	宪章派
chartres	沙特尔（法国
chartreuse	卡尔特教团修
charwoman	按日雇用的女
chary	细心的
charybdis	[希神]卡律
chas	底盘
chase	追求
chaser	猎人
chasing	周镂
chasm	陷窟
chasse	快滑步
chassis	底盘
chaste	贞洁的
chastely	贞洁地
chasten	惩罚
chastened	惩罚（某人）
chastise	责骂
chastised	严惩（某人）
chastisement	惩罚
chastity	纯洁
chasuble	十字褡
chat	闲谈
chateau	城堡
chateaux	pl.城堡
chatelaine	链子
chatham	查塔姆（姓氏
chatsworth	查特斯沃思庄
chattel	动产
chatter	饶舌
chatterbox	喋喋不休者
chatterer	饶舌的人
chattering	颤振
chatterley	查特利
chatterton	查特顿
chattily	饶舌地
chatting	聊天（cha
chatto	人名
chatty	饶舌的
chaucer	乔叟（英国作
chauffeur	司机
chauffeured	受雇于人的汽
chauvinism	盲目的爱国主
chauvinist	沙文主义者
chauvinistic	本民族第一主
chaw	嚼
chay	伞形花耳草
chayote	[植]佛手瓜
chd	冠心病（Co
che	[医]胆碱酯
cheadle	奇德尔（人名
cheam	人名
cheap	便宜的
cheapen	减价
cheapening	减价
cheaper	成本更低
cheaply	便宜地
cheapness	廉价
cheapo	便宜的
cheapside	齐普赛街
cheapskate	<美俚>守财
cheat	欺骗
cheated	欺骗
cheater	骗子
cheating	行骗
chechen	车臣
check	检查
check-in	报到
check-list	校验表
check-up	检查
checkable	可检查的
checkbook	支票簿
checked	有格子图案的
checker	制止者
checkerboard	棋盘
checkered	盛衰无常的
checking	检查的
checklist	清单
checkmark	选择目录
checkmate	击破
checkoff	工会会费扣款
checkout	结帐台
checkpoint	检查站
checks	支票
checkup	审查
cheddar	坚实细腻的黄
chee	化学工程师（
cheek	颊
cheekbone	颧骨
cheekily	厚脸皮地
cheeky	厚颜的
cheep	吱吱的叫声
cheer	愉快
cheerful	快活的
cheerfully	高高兴兴地
cheerfulness	高兴
cheerily	高兴地
cheeriness	高兴
cheering	欢呼
cheerio	interj
cheerleader	啦啦队长
cheerleading	带领啦啦队
cheerless	不愉快的
cheers	interj
cheery	愉快的
cheese	乳酪
cheeseboard	制干酪用的缸
cheeseburger	干酪汉堡包
cheesecake	干酪饼
cheesecloth	干酪包布
cheesemaker	干酪制造者
cheesy	干酪质的
cheetah	猎豹
cheetham	人名
chef	厨师
chekhov	契诃夫（俄国
chekhovian	契可夫的
chelation	螯合作用
chelmsford	切姆斯福德（
chelsea	切尔西（伦敦
cheltenham	切尔滕纳姆[
chem	化学（che
chemical	化学药品
chemically	用化学
chemiluminescence	化学发光
chemise	女式无袖宽内
chemist	化学家
chemistry	化学
chemo	化疗
chemotherapeutic	化学疗法
chemotherapy	化学疗法
chen	陈
cheney	切尼（姓氏）
cheng	成（汉语拼音
chenille	绳绒线
cheque	支票
chequebook	支票簿
chequer	棋子
chequerboard	[英国英语]
chequered	有格子花的
chequers	首相乡间别墅
cher	谢尔河（法国
cherbourg	瑟堡
cherimoya	[植]番荔枝
cherish	珍爱
cherished	珍爱
chernenko	契尔年科（人
chernobyl	车诺比
cherokee	彻罗基族人（
cheroot	方头雪茄烟
cherry	樱桃
cherrywood	樱桃木
chert	燧石
cherub	二级天使
cherubic	天使的
chervil	雪维菜
cherwell	人名
cheryl	谢丽尔（女子
chesham	人名
cheshire	柴郡
cheshunt	切森特
chess	国际象棋
chessboard	西洋象棋盘
chessington	切斯顿冒险世
chest	胸
chester	切斯特（美国
chesterfield	天鹅绒领子暗
chesters	人名
chesterton	切斯特顿
chestnut	栗子
chesty	胸部大的
cheval	glass穿
chevalier	各级爵位的成
cheviot	切维厄特绵羊
chevrolet	美国雪佛兰牌
chevron	V形袖章
chevy	打猎时的叫喊
chew	咀嚼
chewable	chew的变
chewed	咀嚼
chewer	反刍动物
chewing	[咀]嚼
chewy	需要多嚼的
cheyne	人名
chez	于
chi	希腊语的第2
